0.89,0.16,11.43,-0.02,-0.00,-0.02,24.34
0.77,0.19,11.48,-0.02,-0.00,-0.02,24.34
0.83,0.14,11.43,-0.02,-0.01,-0.02,24.25
0.84,0.13,11.47,-0.02,-0.01,-0.02,24.29
0.86,0.17,11.44,-0.02,-0.00,-0.02,24.39
0.83,0.13,11.42,-0.02,-0.01,-0.02,24.39
0.84,0.13,11.44,-0.02,-0.00,-0.02,24.39
0.89,0.13,11.41,-0.02,-0.00,-0.02,24.34
0.88,0.14,11.42,-0.02,-0.01,-0.02,24.34
0.88,0.13,11.43,-0.02,-0.00,-0.03,24.29
0.87,0.14,11.38,-0.02,-0.01,-0.02,24.29
0.83,0.12,11.38,-0.02,-0.01,-0.03,24.20
0.81,0.16,11.54,-0.02,-0.00,-0.03,24.39
0.84,0.18,11.41,-0.02,-0.01,-0.02,24.34
0.87,0.11,11.48,-0.02,-0.00,-0.02,24.25
0.84,0.15,11.42,-0.02,-0.00,-0.02,24.44
0.89,0.08,11.43,-0.02,-0.01,-0.03,24.39
0.89,0.11,11.49,-0.02,-0.00,-0.03,24.39
0.83,0.10,11.38,-0.02,-0.00,-0.03,24.39
0.82,0.17,11.48,-0.02,-0.01,-0.03,24.34
0.89,0.16,11.45,-0.03,-0.01,-0.03,24.34
0.79,0.19,11.41,-0.02,-0.00,-0.03,24.34
0.87,0.16,11.40,-0.02,-0.01,-0.03,24.34
0.87,0.10,11.35,-0.02,-0.01,-0.03,24.29
0.83,0.17,11.41,-0.02,-0.01,-0.03,24.39
0.86,0.20,11.44,-0.03,-0.01,-0.02,24.39
0.84,0.16,11.47,-0.02,-0.00,-0.02,24.34
0.85,0.14,11.34,-0.03,-0.01,-0.03,24.34
0.87,0.18,11.38,-0.02,-0.00,-0.02,24.25
0.84,0.13,11.37,-0.02,-0.00,-0.02,24.29
0.87,0.14,11.43,-0.02,-0.01,-0.03,24.39
0.85,0.15,11.48,-0.02,-0.01,-0.02,24.39
0.86,0.17,11.37,-0.02,-0.00,-0.03,24.34
0.80,0.12,11.37,-0.02,-0.00,-0.03,24.25
0.86,0.14,11.39,-0.02,-0.01,-0.02,24.29
0.88,0.14,11.38,-0.02,-0.00,-0.03,24.39
0.90,0.13,11.38,-0.02,-0.00,-0.03,24.29
0.80,0.12,11.39,-0.02,-0.01,-0.03,24.39
0.84,0.18,11.44,-0.03,-0.01,-0.03,24.29
0.86,0.18,11.53,-0.02,-0.00,-0.02,24.34
0.90,0.22,11.48,-0.02,-0.01,-0.03,24.34
0.85,0.17,11.56,-0.02,-0.01,-0.03,24.34
0.86,0.17,11.48,-0.02,-0.00,-0.03,24.29
0.83,0.17,11.42,-0.02,-0.01,-0.02,24.29
0.82,0.16,11.43,-0.02,-0.00,-0.02,24.29
0.88,0.19,11.39,-0.02,-0.00,-0.03,24.25
0.84,0.17,11.48,-0.03,-0.00,-0.02,24.34
0.86,0.15,11.42,-0.02,-0.00,-0.03,24.25
0.83,0.18,11.46,-0.02,-0.01,-0.03,24.44
0.82,0.17,11.41,-0.02,-0.01,-0.03,24.39
0.84,0.11,11.42,-0.02,-0.00,-0.02,24.39
0.89,0.11,11.38,-0.03,-0.00,-0.02,24.48
0.87,0.15,11.50,-0.03,-0.00,-0.02,24.34
0.86,0.14,11.37,-0.02,-0.00,-0.02,24.25
0.86,0.12,11.43,-0.02,-0.00,-0.03,24.34
0.81,0.13,11.54,-0.02,-0.00,-0.02,24.29
0.88,0.12,11.43,-0.02,-0.00,-0.02,24.29
0.90,0.12,11.42,-0.02,-0.00,-0.03,24.29
0.88,0.21,11.40,-0.02,-0.01,-0.02,24.34
0.82,0.16,11.56,-0.02,-0.00,-0.02,24.34
0.83,0.10,11.44,-0.02,-0.01,-0.02,24.29
0.89,0.13,11.45,-0.03,-0.01,-0.03,24.29
0.85,0.16,11.46,-0.02,-0.00,-0.03,24.39
0.87,0.11,11.48,-0.02,-0.00,-0.02,24.29
0.87,0.11,11.40,-0.03,-0.00,-0.03,24.39
0.81,0.12,11.47,-0.02,-0.00,-0.03,24.34
0.90,0.13,11.42,-0.02,-0.00,-0.03,24.34
0.89,0.15,11.41,-0.02,-0.00,-0.02,24.34
0.79,0.15,11.43,-0.02,-0.00,-0.02,24.29
0.83,0.18,11.46,-0.02,-0.01,-0.02,24.20
0.90,0.12,11.48,-0.02,-0.01,-0.02,24.39
0.86,0.09,11.41,-0.02,-0.01,-0.03,24.34
0.86,0.13,11.42,-0.02,-0.01,-0.03,24.34
0.86,0.14,11.48,-0.02,-0.00,-0.03,24.34
0.83,0.19,11.45,-0.02,-0.01,-0.02,24.29
0.89,0.11,11.41,-0.02,-0.00,-0.03,24.29
0.80,0.11,11.48,-0.03,-0.00,-0.03,24.29
0.88,0.10,11.41,-0.02,-0.00,-0.03,24.39
0.84,0.14,11.40,-0.02,-0.01,-0.02,24.34
0.82,0.18,11.43,-0.02,-0.00,-0.03,24.34
0.85,0.17,11.44,-0.02,-0.00,-0.03,24.34
0.84,0.18,11.37,-0.02,-0.00,-0.03,24.29
0.85,0.16,11.46,-0.02,-0.01,-0.03,24.39
0.88,0.08,11.42,-0.02,-0.00,-0.02,24.29
0.86,0.15,11.42,-0.02,-0.00,-0.03,24.34
0.84,0.13,11.42,-0.02,-0.00,-0.03,24.25
0.76,0.13,11.36,-0.02,-0.00,-0.03,24.29
0.85,0.12,11.43,-0.02,-0.00,-0.02,24.39
0.80,0.16,11.44,-0.02,-0.00,-0.03,24.20
0.83,0.08,11.38,-0.02,-0.01,-0.03,24.39
0.85,0.14,11.49,-0.02,-0.00,-0.03,24.34
0.88,0.17,11.37,-0.02,-0.00,-0.03,24.34
0.85,0.19,11.46,-0.03,-0.00,-0.03,24.34
0.85,0.10,11.43,-0.02,0.00,-0.03,24.25
