0.85,0.15,11.45,-0.02,-0.00,-0.02,24.08
0.84,0.18,11.45,-0.02,-0.00,-0.03,24.07
0.82,0.17,11.46,-0.02,-0.00,-0.02,24.07
0.85,0.18,11.45,-0.02,-0.01,-0.02,24.06
0.85,0.17,11.44,-0.02,-0.01,-0.02,24.07
0.84,0.16,11.43,-0.02,-0.00,-0.02,24.06
0.83,0.17,11.43,-0.02,-0.00,-0.02,24.06
0.83,0.17,11.44,-0.02,-0.00,-0.02,24.06
0.85,0.17,11.45,-0.02,-0.00,-0.02,24.07
0.84,0.17,11.44,-0.02,-0.00,-0.02,24.08
0.82,0.18,11.45,-0.02,-0.00,-0.02,24.08
0.82,0.18,11.45,-0.02,-0.01,-0.02,24.08
0.84,0.18,11.44,-0.02,-0.01,-0.02,24.08
0.83,0.17,11.44,-0.02,-0.01,-0.02,24.07
0.82,0.18,11.45,-0.02,-0.01,-0.02,24.07
0.83,0.17,11.45,-0.02,-0.01,-0.02,24.08
0.87,0.18,11.43,-0.02,-0.01,-0.02,24.08
0.85,0.17,11.43,-0.02,-0.00,-0.02,24.08
0.83,0.17,11.44,-0.02,-0.00,-0.02,24.08
0.85,0.18,11.44,-0.02,-0.00,-0.02,24.08
0.84,0.16,11.45,-0.02,-0.00,-0.02,24.08
0.84,0.19,11.45,-0.02,-0.00,-0.02,24.08
0.83,0.18,11.44,-0.02,-0.00,-0.02,24.08
0.85,0.18,11.44,-0.02,-0.01,-0.02,24.08
0.86,0.17,11.43,-0.02,-0.00,-0.02,24.08
0.85,0.17,11.43,-0.02,-0.00,-0.02,24.08
0.85,0.17,11.43,-0.02,-0.01,-0.02,24.09
0.85,0.17,11.43,-0.02,-0.00,-0.02,24.09
0.85,0.18,11.44,-0.02,-0.00,-0.02,24.08
0.84,0.17,11.45,-0.02,-0.00,-0.02,24.08
0.83,0.18,11.43,-0.02,-0.00,-0.02,24.08
0.84,0.17,11.43,-0.02,-0.00,-0.02,24.08
0.84,0.19,11.43,-0.02,-0.00,-0.02,24.08
0.83,0.20,11.44,-0.02,-0.00,-0.02,24.08
0.81,0.17,11.45,-0.02,-0.01,-0.02,24.08
0.83,0.18,11.44,-0.02,-0.01,-0.02,24.08
0.85,0.17,11.43,-0.02,-0.01,-0.02,24.08
0.84,0.18,11.43,-0.02,-0.01,-0.02,24.09
0.82,0.18,11.44,-0.02,-0.01,-0.03,24.08
0.84,0.18,11.44,-0.02,-0.01,-0.02,24.09
0.86,0.18,11.44,-0.02,-0.01,-0.02,24.09
0.84,0.17,11.44,-0.02,-0.00,-0.02,24.10
0.83,0.18,11.44,-0.02,-0.00,-0.02,24.09
0.82,0.17,11.45,-0.02,-0.00,-0.02,24.09
0.85,0.17,11.44,-0.02,-0.00,-0.02,24.09
0.86,0.17,11.44,-0.02,-0.00,-0.02,24.09
